Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
3;1;Archeologia;Home;0;Archeologia (01);Archeologia;Archeologia;Archeologia;Archeologia;;
4;1;Storia;Home;0;Storia (02);Storia;Storia;Storia;Storia;;
5;1;Storia dell'Arte;Home;0;Storia dell'Arte (03);Storia dell'Arte;Storia dell'Arte;Storia dell'Arte;StoriadellArte;;
6;1;Antropologia;Home;0;Antropologia (04);Antropologia;Antropologia;Antropologia;Antropologia;;
7;1;Geologia;Home;0;Geologia (05);Geologia;Geologia;Geologia;Geologia;;
8;1;Guide;Home;0;Guide (06);Guide;Guide;Guide;Guide;;
9;1;Numismatica;Home;0;Numismatica (07);Numismatica;Numismatica;Numismatica;Numismatica;;
10;1;Varie;Home;0;Varie (08);Varie;Varie;Varie;Varie;;
11;1;Video e Cd;Home;0;Video e Cd (09);Video e Cd;Video e Cd;Video e Cd;VideoeCd;;
12;1;Archeologia generale;Archeologia;0;Archeologia generale (01/00);Archeologia generale;Archeologia generale;Archeologia generale;Archeologiagenerale;;
13;1;Archeologia miscellanee;Archeologia;0;Archeologia miscellanee (01/01);Archeologia miscellanee;Archeologia miscellanee;Archeologia miscellanee;Archeologiamiscellanee;;
14;1;Archeologia preistorica e protostorica;Archeologia;0;Archeologia preistorica e protostorica (01/02);Archeologia preistorica e protostorica;Archeologia preistorica e protostorica;Archeologia preistorica e protostorica;Archeologiapreistoricaeprotostorica;;
15;1;Archeologia egizia e mediorientale;Archeologia;0;Archeologia egizia e mediorientale (01/03);Archeologia egizia e mediorientale;Archeologia egizia e mediorientale;Archeologia egizia e mediorientale;Archeologiaegiziaemediorientale;;
16;1;Archeologia italica;Archeologia;0;Archeologia italica (01/04);Archeologia italica;Archeologia italica;Archeologia italica;Archeologiaitalica;;
17;1;Archeologia classica;Archeologia;0;Archeologia classica (01/05);Archeologia classica;Archeologia classica;Archeologia classica;Archeologiaclassica;;
18;1;Archeologia medioevale;Archeologia;0;Archeologia medioevale (01/06);Archeologia medioevale;Archeologia medioevale;Archeologia medioevale;Archeologiamedioevale;;
19;1;Archeologia subacquea;Archeologia;0;Archeologia subacquea (01/07);Archeologia subacquea;Archeologia subacquea;Archeologia subacquea;Archeologiasubacquea;;
20;1;Archeologia precolombiana;Archeologia;0;Archeologia precolombiana (01/08);Archeologia precolombiana;Archeologia precolombiana;Archeologia precolombiana;Archeologiaprecolombiana;;
21;1;Archeologia sperimentale;Archeologia;0;Archeologia sperimentale (01/10);Archeologia sperimentale;Archeologia sperimentale;Archeologia sperimentale;Archeologiasperimentale;;
22;1;Storia generale;Storia;0;Storia generale (02/00);Storia generale;Storia generale;Storia generale;Storiagenerale;;
23;1;Storia miscellanee;Storia;0;Storia miscellanee (02/01);Storia miscellanee;Storia miscellanee;Storia miscellanee;Storiamiscellanee;;
24;1;Storia preistorica e protostorica;Storia;0;Storia preistorica e protostorica (02/02);Storia preistorica e protostorica;Storia preistorica e protostorica;Storia preistorica e protostorica;Storiapreistoricaeprotostorica;;
25;1;Storia egizia e mediorientale;Storia;0;Storia egizia e mediorientale (02/03);Storia egizia e mediorientale;Storia egizia e mediorientale;Storia egizia e mediorientale;Storiaegiziaemediorientale;;
26;1;Storia italica;Storia;0;Storia italica (02/04);Storia italica;Storia italica;Storia italica;Storiaitalica;;
27;1;Storia classica;Storia;0;Storia classica (02/05);Storia classica;Storia classica;Storia classica;Storiaclassica;;
28;1;Storia medioevale;Storia;0;Storia medioevale (02/06);Storia medioevale;Storia medioevale;Storia medioevale;Storiamedioevale;;
29;1;Storia moderna;Storia;0;Storia moderna (02/07);Storia moderna;Storia moderna;Storia moderna;Storiamoderna;;
30;1;Storia precolombiana;Storia;0;Storia precolombiana (02/11);Storia precolombiana;Storia precolombiana;Storia precolombiana;Storiaprecolombiana;;
31;1;Storia dell'Arte generale;Storia dell'Arte;0;Storia dell'Arte generale (03/00);Storia dell'Arte generale;Storia dell'Arte generale;Storia dell'Arte generale;StoriadellArtegenerale;;
32;1;Storia dell'Arte miscellanee;Storia dell'Arte;0;Storia dell'Arte miscellanee (03/01);Storia dell'Arte miscellanee;Storia dell'Arte miscellanee;Storia dell'Arte miscellanee;StoriadellArtemiscellanee;;
33;1;Storia dell'Arte preistorica e protostorica;Storia dell'Arte;0;Storia dell'Arte preistorica e protostorica (03/02);Storia dell'Arte preistorica e protostorica;Storia dell'Arte preistorica e protostorica;Storia dell'Arte preistorica e protostorica;StoriadellArtepreistoricaeprotostorica;;
34;1;Storia dell'Arte classica;Storia dell'Arte;0;Storia dell'Arte classica (03/05);Storia dell'Arte classica;Storia dell'Arte classica;Storia dell'Arte classica;StoriadellArteclassica;;
35;1;Storia dell'Arte medioevale;Storia dell'Arte;0;Storia dell'Arte medioevale (03/06);Storia dell'Arte medioevale;Storia dell'Arte medioevale;Storia dell'Arte medioevale;StoriadellArtemedioevale;;
36;1;Antropologia generale;Antropologia;0;Antropologia generale (04/00);Antropologia generale;Antropologia generale;Antropologia generale;Antropologiagenerale;;
37;1;Antropologia fisica;Antropologia;0;Antropologia fisica (04/01);Antropologia fisica;Antropologia fisica;Antropologia fisica;Antropologiafisica;;
38;1;Antropologia culturale;Antropologia;0;Antropologia culturale (04/02);Antropologia culturale;Antropologia culturale;Antropologia culturale;Antropologiaculturale;;
39;1;Geologia generale;Geologia;0;Geologia generale (05/00);Geologia generale;Geologia generale;Geologia generale;Geologiagenerale;;
40;1;Guide generale;Guide;0;Guide generale (06/00);Guide generale;Guide generale;Guide generale;Guidegenerale;;
41;1;Numismatica generale;Numismatica;0;Numismatica generale (07/00);Numismatica generale;Numismatica generale;Numismatica generale;Numismaticagenerale;;
42;1;Numismatica italica;Numismatica;0;Numismatica italica (07/04);Numismatica italica;Numismatica italica;Numismatica italica;Numismaticaitalica;;
43;1;Varie generale;Varie;0;Varie generale (08/00);Varie generale;Varie generale;Varie generale;Variegenerale;;
44;1;Video e Cd generale;Video e Cd;0;Video e Cd generale (09/00);Video e Cd generale;Video e Cd generale;Video e Cd generale;VideoeCdgenerale;;
