Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Default (0 = No, 1 = Yes)
1;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Gabucci Ada:1@Mondadori:1@Milano:1@2002:1@190:1;1
2;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AAVV:1@G.A.I.:1@Roma:1@1996:1@136:1;1
3;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AAVV:1@G.A.I.:1@Roma:1@1996:1@136:1;1
4;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AAVV:1@G.A.I.:1@Torino:1@1996:1@79:1;1
5;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AAVV:1@G:1@n.d.:1@n.d.:1@n.d.:1;1
6;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Groppelli G., Perin A., Rovida A., Savoia D., Zicari C.:1@G.A.I.:1@Milano:1@1982:1@30:1;1
7;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Groppelli G., Perin A., Rovida A., Savoia D., Zicari C.:1@G.A.I.:1@Milano:1@1982:1@30:1;1
8;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Cordera L.:1@G.A.T.:1@Torino:1@1997:1@7:1;1
9;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Cordera L.:1@G.A.T.:1@Torino:1@1997:1@7:1;1
10;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Cordera L.:1@G.A.T.:1@Torino:1@1997:1@7:1;1
11;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Harris E. C.:1@Nuova Italia Scientifica:1@Urbino:1@1983:1@180:1;1
12;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Frederic L.:1@Mursia:1@Azzate (Varese):1@1970:1@401:1;1
13;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Perring D.:1@G.A.I.:1@Vercelli:1@1984:1@72:1;1
