N° Inventario;N° Posizione;NumeroScaffale;Dati proprietario;Argomento;Autore;Titolo;Sottotitolo;Parte di;Editore;LuogoDiPubblicazione;AnnoDiPubblicazione;Pagine;NumeroEdizione;Donazione di;Note;Ricerche;Tipologia;Prestito
1.078;;;;;E.Zanda-C.Preacco Ancona-M.Somà-A.Crosetto;Nuclei di necropoli di Forum Fulvii ed Hasta-Indagini archeologiche sul medioevo astigiano;;Quaderni Soprintendenza Archeologica del Piemonte 12;;Torino;1.995;242;;;;;;
1;01\00\001;;;Archeologia generale;Gabucci Ada;Archeologia;3 millenni di arte e storia;;Mondadori;Milano;2.002;190;;;;;;
2;01\00\002\001;;;Archeologia generale;AAVV;1965-1995. Ludovico Magrini una vita per l’archeologia. 30 anni da volontari per i beni culturali;;;G.A.I.;Roma;1.996;136;1;;Album fotografico.2 copie;Ludovico Magrini, le testimonianze degli amici,gli scritti, l’associazione;Pubblicazione G.A.I.;
3;01\00\002\002;;;Archeologia generale;AAVV;1965-1995. Ludovico Magrini una vita per l’archeologia. 30 anni da volontari per i beni culturali;;;G.A.I.;Roma;1.996;136;1;;Album fotografico, 2 copie;Ludovico Magrini, le testimonianze degli amici,gli scritti, l’associazione;Pubblicazione G.A.I.;
4;01\00\003\001;;;Archeologia generale;AAVV;Manuale del volontario in Archeologia;Tutto ciò che bisogna sapere per avvicinarsi correttamente all'indagine archeologica;;G.A.I.;Torino;1.996;79;1;;Tavole, tabelle, disegni, appendici, 3 copie;L'Archeologia come disciplina, piccola storia dell'Archeologia, il Volontariato e l'Archeologia, la ricognizione, lo scavo archeologico, la strumentazione di scavo, l'attività sui materiali, la fotografia archeologica, il disegno dei piccoli reperti, elementi di primo soccorso, glossario;Raccolta di saggi, pubblicazione G.A.I.;
5;01\00\003\002;;;Archeologia generale;AAVV;Manuale del volontario in Archeologia;Tutto ciò che bisogna sapere per avvicinarsi correttamente all'indagine archeologica;;G;;;;;;;;;
6;01\00\004\001;;;Archeologia generale;Groppelli G., Perin A., Rovida A., Savoia D., Zicari C.;La ricognizione  archeologica: raccolta e legislazione;;manuali di Archeologia Uomo Territorio;G.A.I.;Milano;1.982;30;1;;Materiale fotografico, cartine e tabelle;La raccolta di superficie, la legislazione, esempio di lettera di denuncia di ritrovamento;Raccolta di saggi, pubblicazione G.A.I.;
7;01\00\004\002;;;Archeologia generale;Groppelli G., Perin A., Rovida A., Savoia D., Zicari C.;La ricognizione  archeologica: raccolta e legislazione;;manuali di Archeologia Uomo Territorio;G.A.I.;Milano;1.982;30;1;;Materiale fotografico, cartine e tabelle;La raccolta di superficie, la legislazione, esempio di lettera di denuncia di ritrovamento;Raccolta di saggi, pubblicazione G.A.I.;
8;01\00\005\001;;;Archeologia generale;Cordera L.;Tecniche di scavo;;Corso d'introduzione alle tematiche archeologiche;G.A.T.;Torino;1.997;7;1;;;Tecniche di scavo, strati naturali ed antropici, ricognizioni, forma dello scavo, scavo sperimentale, scavo d'emergenza, il pubblico, le unità dello scavo, strati: volumi, superfici, tipi, superfici in sé numerare le azioni, sequenza stratigrafica, la documentazione, grafici e fotografie, sezioni e prospetti, piante di unità stratigrafiche, piante composite o di periodo, ricostruzioni grafiche, edizioni delle strutture, cronologia assoluta, saggi, aree, settori, comportamenti da tenere sullo scavo;Dispensa;
9;01\00\005\002;;;Archeologia generale;Cordera L.;Tecniche di scavo;Tutto ciò che bisogna sapere per avvicinarsi correttamente all'indagine archeologica;Corso d'introduzione alle tematiche archeologiche;G.A.T.;Torino;1.997;7;1;;;Tecniche di scavo, strati naturali ed antropici, ricognizioni, forma dello scavo, scavo sperimentale, scavo d'emergenza, il pubblico, le unità dello scavo, strati: volumi, superfici, tipi, superfici in sé numerare le azioni, sequenza stratigrafica, la documentazione, grafici e fotografie, sezioni e prospetti, piante di unità stratigrafiche, piante composite o di periodo, ricostruzioni grafiche, edizioni delle strutture, cronologia assoluta, saggi, aree, settori, comportamenti da tenere sullo scavo;Dispensa;
